Date,Profit/Losses
Jan-24,1088983
Feb-24,-354534
Mar-24,276622
Apr-24,-728133
May-24,852993
Jun-24,563721
Jul-24,-535208
Aug-24,632349
Sep-24,-173744
Oct-24,950741
Nov-24,-785750
Dec-24,-1194133
Jan-24,-589576
Feb-24,-883921
Mar-24,443564
Apr-24,837887
May-24,1081472
Jun-24,464033
Jul-24,-1066544
Aug-24,323846
Sep-24,-806551
Oct-24,487053
Nov-24,1128811
Dec-24,791398
Jan-24,739367
Feb-24,-197825
Mar-24,666016
Apr-24,589771
May-24,489290
Jun-24,-471439
Jul-24,120417
Aug-24,175347
Sep-24,855449
Oct-24,605195
Nov-24,-235220
Dec-24,347138
Jan-24,298510
Feb-24,163254
Mar-24,1141840
Apr-24,542630
May-24,99841
Jun-24,752765
Jul-24,-252949
Aug-24,914424
Sep-24,679524
Oct-24,514377
Nov-24,462102
Dec-24,159782
Jan-24,878810
Feb-24,-946748
Mar-24,340335
Apr-24,292032
May-24,502266
Jun-24,265852
Jul-24,851017
Aug-24,-549615
Sep-24,290162
Oct-24,755391
Nov-24,1073202
Dec-24,313000
Jan-24,241132
Feb-24,1036589
Mar-24,853904
Apr-24,-388932
May-24,982952
Jun-24,537759
Jul-24,547784
Aug-24,-496214
Sep-24,854181
Oct-24,934719
Nov-24,-288531
Dec-24,-184383
Jan-24,659541
Feb-24,-1149123
Mar-24,355882
Apr-24,662284
May-24,518681
Jun-24,-748256
Jul-24,-910775
Aug-24,951227
Sep-24,898241
Oct-24,-729004
Nov-24,-112209
Dec-24,516313
Jan-24,607208
Feb-24,382539
